country,submarket,year,list_type,brand,weekly_reach_pct,outlet_id,domain,notes,source,brand_type,is_aggregator,domain_valid_from,domain_valid_to,sample_type,fieldwork_start,fieldwork_end,sample_size,human_checked
SWE,single-market,2016,offline,BBC News,7,gbr_bbc,bbc.co.uk,,"DNR 2016, p. 51",foreign,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Sydsvenska Dagbladet,5,swe_sydsvenskan,sydsvenskan.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Broadcasters/papers from outside Sweden,4,cat_foreign_media,,"Survey aggregate, not a brand - no domain exists.","DNR 2016, p. 51",category,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,offline,Uppsala Nya Tidning,2,swe_unt,unt.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Aftonbladet online,55,swe_aftonbladet,aftonbladet.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Expressen online,38,swe_expressen,expressen.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Dagens Nyheter online,25,swe_dn,dn.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,SR news online,24,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Svenska Dagbladet online,22,swe_svd,svd.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,TV4 news online,21,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Regional or local paper website,19,cat_regional_local_press_online,,"Survey aggregate, not a brand - no domain exists.","DNR 2016, p. 51",category,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Göteborgs-Posten online,16,swe_gp,gp.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Nyheter 24,16,swe_nyheter24,nyheter24.se,"Nyheter24 (Nyheter24-Gruppen), online-only. UNVERIFIED.","DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Dagens Industri online,14,swe_di,di.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,SVT News Online,13,swe_svt,svt.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Sydsvenska Dagbladet online,10,swe_sydsvenskan,sydsvenskan.se,,"DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,Metro online,10,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2016, p. 51",outlet,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,BBC News online,8,gbr_bbc,bbc.co.uk,,"DNR 2016, p. 51",foreign,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,CNN online,7,usa_cnn,cnn.com,,"DNR 2016, p. 51",foreign,FALSE,,,national,2016-01,2016-02,2030,
SWE,single-market,2016,online,MSN News,6,usa_msn,msn.com,,"DNR 2016, p. 51",aggregator,TRUE,,,national,2016-01,2016-02,2030,
SWE,single-market,2017,offline,Sveriges Television (SVT) news,57,swe_svt,svt.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,TV4 News,49,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Sveriges Radio news (SR),39,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Regional or local newspaper,24,cat_regional_local_press,,"Survey aggregate, not a brand - no domain exists.","DNR 2017, p. 95",category,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Aftonbladet,17,swe_aftonbladet,aftonbladet.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Metro,16,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Dagens Nyheter,12,swe_dn,dn.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Expressen,11,swe_expressen,expressen.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Göteborgs-Posten,8,swe_gp,gp.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Svenska Dagbladet,8,swe_svd,svd.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,CNN,8,usa_cnn,cnn.com,,"DNR 2017, p. 95",foreign,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,BBC News,8,gbr_bbc,bbc.co.uk,,"DNR 2017, p. 95",foreign,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Dagens Industri,6,swe_di,di.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Sydsvenska Dagbladet,5,swe_sydsvenskan,sydsvenskan.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Media from outside country,4,cat_foreign_media,,"Survey aggregate, not a brand - no domain exists.","DNR 2017, p. 95",category,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,offline,Uppsala Nya Tidning,2,swe_unt,unt.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Aftonbladet online,48,swe_aftonbladet,aftonbladet.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,SVT News online,37,swe_svt,svt.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Expressen online,31,swe_expressen,expressen.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Dagens Nyheter online,20,swe_dn,dn.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,TV4 News online,18,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Regional or local newspaper website,18,cat_regional_local_press_online,,"Survey aggregate, not a brand - no domain exists.","DNR 2017, p. 95",category,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Nyheter 24 online,16,swe_nyheter24,nyheter24.se,"Nyheter24 (Nyheter24-Gruppen), online-only. UNVERIFIED.","DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Svenska Dagbladet online,16,swe_svd,svd.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,SR News online,14,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Göteborgs-Posten online,13,swe_gp,gp.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Dagens Industri online,11,swe_di,di.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,BBC News online,7,gbr_bbc,bbc.co.uk,,"DNR 2017, p. 95",foreign,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Sydsvenska Dagbladet online,7,swe_sydsvenskan,sydsvenskan.se,,"DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,CNN.com,7,usa_cnn,cnn.com,,"DNR 2017, p. 95",foreign,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Metro online,5,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2017, p. 95",outlet,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2017,online,Huffington Post,5,usa_huffpost,huffingtonpost.com,Foreign brand; the DNR printed 'Huffington Post' with no Swedish edition. Domain recorded as the international huffingtonpost.com. UNVERIFIED.,"DNR 2017, p. 95",foreign,FALSE,,,national,2017-01,2017-02,2021,
SWE,single-market,2018,offline,Sveriges Television (SVT) news,56,swe_svt,svt.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,TV4 news,52,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Sveriges Radio (SR) news,41,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Regional or local newspaper,22,cat_regional_local_press,,"Survey aggregate, not a brand - no domain exists.","DNR 2018, p. 105",category,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Metro,17,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Aftonbladet,16,swe_aftonbladet,aftonbladet.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Dagens Nyheter,11,swe_dn,dn.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Expressen,11,swe_expressen,expressen.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Svenska Dagbladet,8,swe_svd,svd.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,CNN,7,usa_cnn,cnn.com,,"DNR 2018, p. 105",foreign,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Göteborgs-Posten,6,swe_gp,gp.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,BBC News,6,gbr_bbc,bbc.co.uk,,"DNR 2018, p. 105",foreign,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Dagens Industri,5,swe_di,di.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Media from outside country,4,cat_foreign_media,,"Survey aggregate, not a brand - no domain exists.","DNR 2018, p. 105",category,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Sydsvenska Dagbladet,4,swe_sydsvenskan,sydsvenskan.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,offline,Uppsala Nya Tidning,3,swe_unt,unt.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Aftonbladet online,46,swe_aftonbladet,aftonbladet.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Expressen online,32,swe_expressen,expressen.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Tv4.se,20,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Dagens Nyheter online,18,swe_dn,dn.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Regional or local newspaper website,17,cat_regional_local_press_online,,"Survey aggregate, not a brand - no domain exists.","DNR 2018, p. 105",category,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Nyheter 24,16,swe_nyheter24,nyheter24.se,"Nyheter24 (Nyheter24-Gruppen), online-only. UNVERIFIED.","DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Sr.se,16,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,SVT News online,15,swe_svt,svt.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Svenska Dagbladet online,15,swe_svd,svd.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Göteborgs-Posten online,12,swe_gp,gp.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Dagens Industri online,9,swe_di,di.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Sydsvenska Dagbladet online,7,swe_sydsvenskan,sydsvenskan.se,,"DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,BBC News online,7,gbr_bbc,bbc.co.uk,,"DNR 2018, p. 105",foreign,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,CNN.com,6,usa_cnn,cnn.com,,"DNR 2018, p. 105",foreign,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,MSN News,5,usa_msn,msn.com,,"DNR 2018, p. 105",aggregator,TRUE,,,national,2018-01,2018-02,2016,
SWE,single-market,2018,online,Metro online,5,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2018, p. 105",outlet,FALSE,,,national,2018-01,2018-02,2016,
SWE,single-market,2019,offline,SVT News (public television),56,swe_svt,svt.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,TV4 News,49,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,SR News (public radio),36,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,A regional or local newspaper,22,cat_regional_local_press,,"Survey aggregate, not a brand - no domain exists.","DNR 2019, p. 111",category,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Aftonbladet,15,swe_aftonbladet,aftonbladet.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Metro,15,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Expressen,12,swe_expressen,expressen.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Dagens Nyheter,9,swe_dn,dn.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Svenska Dagbladet,8,swe_svd,svd.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,CNN,6,usa_cnn,cnn.com,,"DNR 2019, p. 111",foreign,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,BBC News,6,gbr_bbc,bbc.co.uk,,"DNR 2019, p. 111",foreign,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Dagens Industri,6,swe_di,di.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Göteborgs-Posten,6,swe_gp,gp.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,offline,Media from outside country,5,cat_foreign_media,,"Survey aggregate, not a brand - no domain exists.","DNR 2019, p. 111",category,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Aftonbladet online,45,swe_aftonbladet,aftonbladet.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Expressen online,34,swe_expressen,expressen.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,SVT News online,31,swe_svt,svt.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Tv4 News online,18,swe_tv4,tv4.se,DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested.,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Regional/local newspaper website,16,cat_regional_local_press_online,,"Survey aggregate, not a brand - no domain exists.","DNR 2019, p. 111",category,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Dagens Nyheter online,14,swe_dn,dn.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Svenska Dagbladet online,13,swe_svd,svd.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Nyheter 24 (News 24),12,swe_nyheter24,nyheter24.se,"Nyheter24 (Nyheter24-Gruppen), online-only. UNVERIFIED.","DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,SR News online,12,swe_sr,sverigesradio.se,DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks.,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Göteborgs-Posten online,11,swe_gp,gp.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Dagens Industri online,9,swe_di,di.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Sydsvenska Dagbladet online,7,swe_sydsvenskan,sydsvenskan.se,,"DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,BBC News online,6,gbr_bbc,bbc.co.uk,,"DNR 2019, p. 111",foreign,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2019,online,Metro online,5,swe_metro,metro.se,"Free daily Metro; the Swedish print edition ceased in August 2019 and the title was wound down thereafter, but the DNR still lists it in 2020 at 2%. UNVERIFIED: metro.se ownership/operation after 2019 not yet checked.","DNR 2019, p. 111",outlet,FALSE,,,national,2019-01,2019-02,2007,
SWE,single-market,2020,offline,SVT News (public television),54,swe_svt,svt.se,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,TV4 news,50,swe_tv4,tv4.se,"DNR 2018 printed the brand as 'Tv4.se'. TV4's news output sits under tv4.se (TV4 Nyheterna); nyheterna.se is a redirect into it. UNVERIFIED: article-bearing path not yet tested. DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,SR News (SR radio),34,swe_sr,sverigesradio.se,"DNR 2018 printed the brand as 'Sr.se'; sr.se is Sveriges Radio's short domain and articles are published at sverigesradio.se. UNVERIFIED: which host carried articles in each year still needs the Stage 3/4 checks. DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,Regional or local newspaper,21,cat_regional_local_press,,"Survey aggregate, not a brand - no domain exists. DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",category,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,Aftonbladet,17,swe_aftonbladet,aftonbladet.se,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,Expressen,12,swe_expressen,expressen.se,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,Dagens Nyheter,9,swe_dn,dn.se,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,BBC News,8,gbr_bbc,bbc.co.uk,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",foreign,FALSE,,,national,2020-01,2020-02,2091,
SWE,single-market,2020,offline,Svenska Dagbladet,8,swe_svd,svd.se,"DNR 2020 lays the Sweden profile out on a single page with no 'TV, RADIO AND PRINT' / 'ONLINE' chart headings; list_type read from the bar colour and the legend.","DNR 2020, p. 83",outlet,FALSE,,,national,2020-01,2020-02,2091,
